artista,cancion,duracion_ms,explicito,anio,popularidad,bailable,energia,clave,volumen,modo,locuacidad,acusticidad,instrumentalidad,vivisidad,valencia emocional,tempo,genero_principal_Dance/Electronic,genero_principal_Folk/Acoustic,genero_principal_R&B,genero_principal_World/Traditional,genero_principal_country,genero_principal_easy listening,genero_principal_hip hop,genero_principal_latin,genero_principal_metal,genero_principal_pop,genero_principal_rock,genero_principal_set(),fecha_lanzamiento,Followers,dia_semana,TOP50_2019-2020,inflation,unemployment,gdp_per_capita,gross_savings,crecimiento_renta_neta,consumption_expenditure
Baauer,Harlem Shake,196664,0,2013,57,0.452,0.794,0,-5.151,1,0.0483,0.0111,0.00182,0.416,0.282,137.825,1,0,0,0,0,0,0,0,0,0,0,0,2013-02-12,195293,Tuesday,no,1.464832656,7.375,53410,18.64,1.41,82.46
Calvin Harris,I Need Your Love (feat. Ellie Goulding),234506,0,2012,70,0.695,0.869,8,-5.066,1,0.0483,0.41,0.0,0.237,0.58,124.989,0,0,0,0,0,0,1,0,0,0,0,0,2012-10-29,22833621,Monday,no,2.069337265,8.069,51784,18.13,3.85,83.44
Katy Perry,This Is How We Do,204285,0,2013,60,0.69,0.636,9,-6.028,0,0.0457,0.0203,0.0,0.147,0.8,96.0,0,0,0,0,0,0,0,0,0,1,0,0,1995-01-01,34270202,Sunday,no,1.464832656,7.375,53410,18.64,1.41,82.46
AWOLNATION,Sail,259102,0,2011,2,0.825,0.435,1,-9.582,1,0.0568,0.452,0.609,0.0953,0.243,119.038,0,0,0,0,0,0,0,0,0,1,0,0,2024-07-26,2075602,Friday,no,3.156841569,8.949,50066,16.0,2.05,84.68
Duke Dumont,Need U (100%) [feat. A*M*E] - Radio Edit,174853,0,2013,27,0.681,0.835,0,-5.705,0,0.049,0.00176,0.00183,0.354,0.469,124.047,0,0,0,0,0,0,0,0,0,1,0,0,2013-03-29,735094,Friday,no,1.464832656,7.375,53410,18.64,1.41,82.46
Jason Derulo,The Other Side,226986,0,2013,50,0.561,0.836,9,-3.939,1,0.1,0.0525,0.0,0.136,0.517,127.923,0,0,0,0,0,0,1,0,0,0,0,0,2017-12-08,12166576,Friday,no,1.464832656,7.375,53410,18.64,1.41,82.46
Storm Queen,Look Right Through - MK Vocal Edit,150400,0,2014,0,0.832,0.815,0,-8.035,0,0.081,0.00304,0.00553,0.263,0.519,119.995,1,0,0,0,0,0,0,0,0,0,0,0,2013-12-10,16615,Tuesday,no,1.622222977,6.168,55304,19.64,3.35,81.99
Calvin Harris,Sweet Nothing (feat. Florence Welch),212560,0,2012,71,0.573,0.929,8,-3.942,0,0.109,0.197,0.000112,0.0567,0.582,127.934,0,0,0,0,0,0,1,0,0,0,0,0,2012-10-29,22833621,Monday,no,2.069337265,8.069,51784,18.13,3.85,83.44
Katy Perry,Unconditionally,228878,0,2013,0,0.555,0.729,7,-4.813,1,0.0387,0.00357,0.0,0.209,0.369,129.003,0,0,0,0,0,0,0,0,0,1,0,0,2013-01-01,34270202,Tuesday,no,1.464832656,7.375,53410,18.64,1.41,82.46
Wale,Bad (feat. Rihanna) - Remix,238826,1,2013,61,0.807,0.702,6,-6.594,0,0.0748,0.307,0.0,0.111,0.447,114.038,0,0,0,0,0,0,1,0,0,0,0,0,2013-06-25,4159822,Tuesday,no,1.464832656,7.375,53410,18.64,1.41,82.46
Ciara,Body Party,234040,0,2013,64,0.577,0.576,2,-6.299,1,0.0563,0.0143,0.0,0.602,0.12,133.973,0,0,0,0,0,0,0,0,0,1,0,0,2013-07-05,6674908,Friday,no,1.464832656,7.375,53410,18.64,1.41,82.46
Drake,Started From the Bottom,174120,1,2013,65,0.794,0.523,8,-7.829,1,0.161,0.0331,0.0,0.156,0.56,86.307,0,0,0,0,0,0,1,0,0,0,0,0,2013-01-01,91634236,Tuesday,no,1.464832656,7.375,53410,18.64,1.41,82.46
Birdy,Wings,252106,0,2013,48,0.474,0.707,7,-4.534,1,0.0253,0.0831,0.0,0.162,0.224,83.235,0,0,0,0,0,0,0,0,0,1,0,0,2013-09-16,3691913,Monday,no,1.464832656,7.375,53410,18.64,1.41,82.46
Bastille,Of The Night,214205,0,2013,61,0.67,0.829,5,-7.2,0,0.0427,0.0192,0.000225,0.089,0.349,125.01,0,0,0,0,0,0,0,0,0,1,0,0,2020-01-10,5553772,Friday,no,1.464832656,7.375,53410,18.64,1.41,82.46
Olly Murs,Dear Darlin',206373,0,2012,59,0.512,0.828,11,-4.672,0,0.0454,0.00627,8.73e-06,0.119,0.34,124.021,0,0,0,0,0,0,0,0,0,1,0,0,2012-11-26,3201550,Monday,no,2.069337265,8.069,51784,18.13,3.85,83.44
Katy Perry,Roar,223546,0,2013,73,0.554,0.772,7,-4.821,0,0.0418,0.00487,6.6e-06,0.354,0.455,179.984,0,0,0,0,0,0,0,0,0,1,0,0,2013-01-01,34270202,Tuesday,no,1.464832656,7.375,53410,18.64,1.41,82.46
Blake Shelton,Sure Be Cool If You Did,215720,0,2013,56,0.576,0.726,11,-4.625,1,0.035,0.255,0.0,0.108,0.582,136.802,0,0,0,0,1,0,0,0,0,0,0,0,2013-03-26,7208092,Tuesday,no,1.464832656,7.375,53410,18.64,1.41,82.46
Calvin Harris,Thinking About You (feat. Ayah Marar),247933,0,2012,65,0.725,0.874,0,-3.715,0,0.0396,0.00262,0.000412,0.0958,0.748,127.985,0,0,0,0,0,0,1,0,0,0,0,0,2012-10-29,22833621,Monday,no,2.069337265,8.069,51784,18.13,3.85,83.44
JAY-Z,Holy Grail,338413,1,2013,62,0.676,0.534,2,-6.901,0,0.0831,0.0594,8.59e-06,0.256,0.156,145.082,0,0,0,0,0,0,1,0,0,0,0,0,2013-07-04,9391172,Thursday,no,1.464832656,7.375,53410,18.64,1.41,82.46
